Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Evaluating awareness information in distributed collaborative editing by software-engineers,"Freie Universit&#228;t Berlin, Berlin, Germany",Proceedings of the First International Workshop on User Evaluation for Software Engineering Researchers,20161111,2012,,,35,38
Error mining: bug detection through comparison with large code databases,"University of Ulm, Ulm, Germany",Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,20161111,2012,,,175,178
The Impact of Different Teaching Approaches and Languages on Student Learning of Introductory Programming Concepts,"Penn State Harrisburg, Middletown, PA",ACM Transactions on Computing Education (TOCE),20161111,2016,16,1,1,26
Expressive Genetic Programming: Concepts and Applications,"Hampshire College, Amherst, MA, USA",Proceedings of the 2016 on Genetic and Evolutionary Computation Conference Companion,20161111,2016,,,589,608
Towards clone-and-own support: locating relevant methods in legacy products,"Universidad San Jorge, Zaragoza, Spain",Proceedings of the 20th International Systems and Software Product Line Conference,20161111,2016,,,194,203
A Search-based Training Algorithm for Cost-aware Defect Prediction,"Delft University of Technology, Delft, Netherlands",Proceedings of the Genetic and Evolutionary Computation Conference 2016,20161111,2016,,,1077,1084
Differences in the Learning Principles Dominating Student-Student vs. Student-Instructor Interactions while Working on Programming Tasks,"University of South Florida, Tampa, FL, USA",Proceedings of the 47th ACM Technical Symposium on Computing Science Education,20161111,2016,,,255,260
"Image Tag Assignment, Refinement and Retrieval","Renmin University of China, Beijing, China",Proceedings of the 23rd ACM international conference on Multimedia,20161111,2015,,,1325,1326
Should your 8-year-old learn coding?,"University of Canterbury, Christchurch, New Zealand",Proceedings of the 9th Workshop in Primary and Secondary Computing Education,20161111,2014,,,60,69
Open source-style collaborative development practices in commercial projects using GitHub,University of Victoria,Proceedings of the 37th International Conference on Software Engineering,20161111,2015,1,,574,585
Investigating the Model-Driven Development for Systems-of-Systems,"Federal University of Goi&#225;s, Goi&#226;nia - Brazil, University of S&#227;o Paulo - USP, S&#227;o Carlos - Brazil",Proceedings of the 2014 European Conference on Software Architecture Workshops,20161111,2014,,,1,8
Applying Reinforcement Theory to Implementing a Retargeting Advertising in the Electronic Commerce Website,"Associate Professor, Department of Information Management, Hwa Hsia University of Technology, No.111, Gongzhuan Rd., Zhonghe Dist., New Taipei City 235, Taiwan, (886)2-8941-5100",Proceedings of the 17th International Conference on Electronic Commerce 2015,20161111,2015,,,1,5
Evaluating Mobile Apps with A/B and Quasi A/B Tests,"LinkedIn Corporation, Mountain View, CA, USA",Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,20161111,2016,,,313,322
"When designing usability questionnaires, does it hurt to be positive?","Oracle Corporation, Denver, Colorado, USA",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,20161111,2011,,,2215,2224
New Frontiers of Large Scale Multimedia Information Retrieval,"Columbia University, New York, NY, USA",Proceedings of the 2016 ACM on International Conference on Multimedia Retrieval,20161111,2016,,,5,5
Using targeted symbolic execution for reducing false-positives in dataflow analysis,"TU Darmstadt, Germany",Proceedings of the 4th ACM SIGPLAN International Workshop on State Of the Art in Program Analysis,20161111,2015,,,1,6
Author retrospective for PYRROS: static task scheduling and code generation for message passing multiprocessors,"University of California at Santa Barbara, Santa Barbara, CA, USA",ACM International Conference on Supercomputing 25th Anniversary Volume,20161111,2014,,,18,20
Towards an architectural design of a guideline-driven EMR system: a contextual inquiry of Malawi,"University of Cape Town, Cape Town, South Africa",Proceedings of the Seventh International Conference on Information and Communication Technologies and Development,20161111,2015,,,1,4
Supporting CS10K: A New Computer Science Methods Course for Mathematics Education Students,"Siena College, Loudonville, NY, USA",Proceedings of the 46th ACM Technical Symposium on Computer Science Education,20161111,2015,,,302,307
Tracing back the history of commits in low-tech reviewing environments: a case study of the Linux kernel,"MCIS, Polytechnique, Montr&#233;al, Canada",Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,20161111,2014,,,1,10
Software analytics for digital games: keynote abstract,"Microsoft Research, Redmond, WA",Proceedings of the Fourth International Workshop on Games and Software Engineering,20161111,2015,,,1,2
Systematic analysis of qualitative data in security,"Carnegie Mellon University, Pittsburgh",Proceedings of the Symposium and Bootcamp on the Science of Security,20161111,2016,,,52,52
A Multi-Paradigm Approach to Teaching Students Embedded Systems Design using FPGAs and CPLDs,"School of Engineering, University of Warwick, Coventry, Warwickshire, CV3 4AL",Proceedings of the FPGA World Conference 2014,20161111,2014,,,1,8
A large-scale survey on the effects of selected development practices on software correctness,"University of Tartu, Estonia",Proceedings of the 2015 International Conference on Software and System Process,20161111,2015,,,117,121
"Hi-Lo tech games: crafting, coding and collaboration of augmented board games by high school youth","University of Pennsylvania, Philadelphia, PA",Proceedings of the 14th International Conference on Interaction Design and Children,20161111,2015,,,130,139
App store mining and analysis: MSR for app stores,"University College London, Malet Place, London, UK",Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,20161111,2012,,,108,111
"From ""nobody cares"" to ""way to go!"": A Design Framework for Social Sharing in Personal Informatics","University of Washington, Seattle, WA, USA",Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing,20161111,2015,,,1622,1636
The ATB Framework: Quantifying and Classifying Epistemic Strategies in Tangible Problem-Solving Tasks,"University of Madeira, Funchal, Portugal","Proceedings of the Ninth International Conference on Tangible, Embedded, and Embodied Interaction",20161111,2015,,,13,20
Quality questions need quality code: classifying code fragments on stack overflow,"Delft University of Technology, The Netherlands",Proceedings of the 12th Working Conference on Mining Software Repositories,20161111,2015,,,410,413
Eliciting Tacit Expertise in 3D Volume Segmentation,Univ. of North Texas,Proceedings of the 9th International Symposium on Visual Information Communication and Interaction,20161111,2016,,,59,66
"Coding, Designing, and Logistics: How Modes Affect Equity in Computer Science Education (Abstract Only)","Michigan State University, East Lansing, MI, USA",Proceedings of the 47th ACM Technical Symposium on Computing Science Education,20161111,2016,,,686,686
Towards a theory of conceptual design for software,"Massachusetts Institute of Technology, USA","2015 ACM International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software (Onward!)",20161111,2015,,,282,296
Deep Learning of Behaviors for Security,"Dartmouth College, Etna, NH, USA",Proceedings of the 2015 ACM International Workshop on International Workshop on Security and Privacy Analytics,20161111,2015,,,1,1
Exploration of Participation in Student Software Engineering Teams,"University of Pretoria, Pretoria, South Africa",ACM Transactions on Computing Education (TOCE),20161111,2016,16,2,1,38
Poster: Measuring Developers' Sentiments in the Android Open Source Project,"BUET, Dhaka, Bangladesh","Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services Companion",20161111,2016,,,7,7
Energy-Efficient Networking Solutions in Cloud-Based Environments: A Systematic Literature Review,"University of Amsterdam and VU University Amsterdam, Amsterdam, The Netherlands",ACM Computing Surveys (CSUR),20161111,2015,47,4,1,32
Towards a Systematic Review of Automated Feedback Generation for Programming Exercises,"Open University, Heerlen, Netherlands",Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,20161111,2016,,,41,46
Wrangler: interactive visual specification of data transformation scripts,"Stanford University, Stanford, California, USA",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,20161111,2011,,,3363,3372
Active files as a measure of software maintainability,"Northeastern University, USA",Companion Proceedings of the 36th International Conference on Software Engineering,20161111,2014,,,34,43
Establishing A Standard For Underwater Digital Acoustic Communications and Networks,"Chief Scientist, Teledyne Benthos, Inc., NIAG SG190 Vice Chairman, North America, 49 Edgerton Drive, North Falmouth, MA 02556 USA",Proceedings of the 10th International Conference on Underwater Networks & Systems,20161111,2015,,,1,5
User Reviews of Gamepad Controllers: A Source of User Requirements and User Experience,"University of York, York, United Kingdom",Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play,20161111,2015,,,643,648
New Horizons in the Assessment of Computer Science at School and Beyond: Leveraging on the ViVA Platform,"University of Catania, Catania, Italy",Proceedings of the 2015 ITiCSE on Working Group Reports,20161111,2015,,,117,147
The WEAR Scale: Developing a Measure of the Social Acceptability of a Wearable Device,"Iowa State University, Ames, IA, USA",Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,20161111,2016,,,2864,2871
From identification of parallelizability to derivation of parallelizable codes,"University of Tokyo, Japan",Proceedings of the 5th International Workshop on Functional High-Performance Computing,20161111,2016,,,1,1
"Remote Data Auditing in Cloud Computing Environments: A Survey, Taxonomy, and Open Issues","University of Malaya, Kuala Lumpur, Malaysia",ACM Computing Surveys (CSUR),20161111,2015,47,4,1,34
Impact of routing protocols on the quality of transmission for video streaming,"LaSTIC, Computer Science, Batna 2, University, Algeria 213",Proceedings of the International Conference on Internet of things and Cloud Computing,20161111,2016,,,1,7
Automatic Contract Insertion with CCBot,"Purdue University, West Lafayette, IN",IEEE Transactions on Software Engineering,20170811,2017,43,8,701,714
Software Architects in Large-Scale Distributed Projects: An Ericsson Case Study,Blekinge Institute of Technology,IEEE Software,20161028,2016,33,6,48,55
